dealt,starter,beginner_discard,medium_discard,beginner_crib,medium_crib,beginner_hand,beginner_score,medium_hand,medium_score,dealer_is_self
"qs,jh,10h,as,6c,4c","ah","10h,6c","as,4c","10h,6c,10s,9c","as,4c,10s,9c","qs,jh,as,4c",8,"qs,jh,10h,6c",5,True
"9h,ad,10s,qc,4c,5d","ah","qc,4c","9h,qc","qc,4c,qh,qs","9h,qc,qh,qs","9h,ad,10s,5d",-2,"ad,10s,4c,5d",-2,False
"9d,3s,qc,7d,6s,7h","8s","7d,7h","3s,qc","7d,7h,2s,8d","3s,qc,2s,8d","9d,3s,qc,6s",8,"9d,7d,6s,7h",6,True
"8d,2d,ks,ad,qs,2s","6c","8d,qs","8d,ks","8d,qs,10c,4d","8d,ks,10c,4d","2d,ks,ad,2s",4,"2d,ad,qs,2s",4,False
"3s,as,4c,ac,10h,ks","2h","3s,ks","3s,10h","3s,ks,9s,6d","3s,10h,9s,6d","as,4c,ac,10h",8,"as,4c,ac,ks",8,True
"qd,2s,7s,qh,9h,4s","jc","9h,4s","7s,qh","9h,4s,10c,3d","7s,qh,10c,3d","qd,2s,7s,qh",2,"qd,2s,9h,4s",2,False
"8h,10h,9d,4s,5c,5s","2c","9d,4s","4s,5s","9d,4s,ah,ac","4s,5s,ah,ac","8h,10h,5c,5s",10,"8h,10h,9d,5c",7,True
"6s,8c,9h,ac,6h,qh","10h","ac,qh","9h,qh","ac,qh,4s,8d","9h,qh,4s,8d","6s,8c,9h,6h",4,"6s,8c,ac,6h",6,False
"7s,jc,3c,qs,9h,jh","6c","qs,9h","7s,qs","qs,9h,8h,jd","7s,qs,8h,jd","7s,jc,3c,jh",2,"jc,3c,9h,jh",0,False
"kc,7c,9d,3h,4s,kd","ac","3h,4s","7c,9d","3h,4s,7s,kh","7c,9d,7s,kh","kc,7c,9d,kd",2,"kc,3h,4s,kd",0,False
"4d,3d,9h,10c,qs,2c","4c","10c,qs","9h,10c","10c,qs,8c,7h","9h,10c,8c,7h","4d,3d,9h,2c",7,"4d,3d,qs,2c",11,True
"2c,6s,7d,qd,ah,jh","jc","ah,jh","ah,qd","ah,jh,ad,9c","ah,qd,ad,9c","2c,6s,7d,qd",0,"2c,6s,7d,jh",0,False
"10h,5c,as,2c,2d,7s","9d","2c,2d","5c,7s","2c,2d,7d,8d","5c,7s,7d,8d","10h,5c,as,7s",6,"10h,as,2c,2d",10,True
"qh,ad,2s,8h,7c,6c","4s","qh,2s","ad,qh","qh,2s,5s,ac","ad,qh,5s,ac","ad,8h,7c,6c",5,"2s,8h,7c,6c",3,False
"qc,2d,jd,8s,9s,10d","7c","2d,8s","8s,9s","2d,8s,js,4h","8s,9s,js,4h","qc,jd,9s,10d",5,"qc,2d,jd,10d",4,True
"ac,7d,7c,10h,qd,ks","2s","qd,ks","10h,qd","qd,ks,8c,4h","10h,qd,8c,4h","ac,7d,7c,10h",4,"ac,7d,7c,ks",4,True
"kd,as,2c,jh,6d,5c","4c","2c,6d","as,2c","2c,6d,3s,ks","as,2c,3s,ks","kd,as,jh,5c",2,"kd,jh,6d,5c",-1,False
"js,jc,10c,9s,9c,jd","5h","9c,jd","9s,jd","9c,jd,2d,kd","9s,jd,2d,kd","js,jc,10c,9s",8,"js,jc,10c,9c",8,False
"10s,2s,7s,6c,10d,js","9d","6c,10d","6c,7s","6c,10d,2h,10c","6c,7s,2h,10c","10s,2s,7s,js",6,"10s,2s,10d,js",4,True
"3d,ks,kd,4s,8h,kc","jd","4s,8h","3d,4s","4s,8h,ad,qs","3d,4s,ad,qs","3d,ks,kd,kc",8,"ks,kd,8h,kc",8,True
"ks,qh,kh,9c,7h,2d","4s","7h,2d","2d,9c","7h,2d,10s,js","2d,9c,10s,js","ks,qh,kh,9c",2,"ks,qh,kh,7h",-1,False
"10h,6c,ah,3h,6s,qh","7d","ah,qh","10h,qh","ah,qh,7h,ac","10h,qh,7h,ac","10h,6c,3h,6s",2,"6c,ah,3h,6s",4,False
"kh,5d,6d,3h,10c,6c","10h","3h,6c","10c,kh","3h,6c,kd,9s","10c,kh,kd,9s","kh,5d,6d,10c",2,"5d,6d,3h,6c",2,False
"kd,8h,qs,ks,4s,8d","3d","qs,4s","8d,8h","qs,4s,ad,kh","8d,8h,ad,kh","kd,8h,ks,8d",8,"kd,qs,ks,4s",4,True
"as,9c,4h,7c,jd,2s","9d","7c,2s","7c,9c","7c,2s,ah,kd","7c,9c,ah,kd","as,9c,4h,jd",2,"as,4h,jd,2s",2,True
"qc,7c,3d,6c,8s,10c","9s","3d,10c","10c,qc","3d,10c,6h,qd","10c,qc,6h,qd","qc,7c,6c,8s",5,"7c,3d,6c,8s",3,False
"jd,10d,5s,9c,jc,as","6h","9c,as","as,5s","9c,as,10s,3s","as,5s,10s,3s","jd,10d,5s,jc",8,"jd,10d,9c,jc",10,True
"ac,8s,jc,10h,as,ks","5d","10h,ks","8s,ks","10h,ks,4c,9d","8s,ks,4c,9d","ac,8s,jc,as",2,"ac,jc,10h,as",2,False
"as,8s,2h,8d,4d,7s","3h","2h,4d","as,4d","2h,4d,6s,ad","as,4d,6s,ad","as,8s,8d,7s",6,"8s,2h,8d,7s",8,True
"4c,3h,9h,kd,jh,4h","jc","4c,kd","9h,jh","4c,kd,kc,as","9h,jh,kc,as","3h,9h,jh,4h",11,"4c,3h,kd,4h",2,True
"6s,3h,3s,10s,4s,3d","qc","10s,4s","6s,10s","10s,4s,8s,7c","6s,10s,8s,7c","6s,3h,3s,3d",6,"3h,3s,4s,3d",1,False
"7h,6s,9h,js,kd,4d","jc","kd,4d","js,kd","kd,4d,10h,kc","js,kd,10h,kc","7h,6s,9h,js",4,"7h,6s,9h,4d",4,True
"ah,ad,2d,10h,kd,5d","9s","ah,10h","2d,kd","ah,10h,2s,2h","2d,kd,2s,2h","ad,2d,kd,5d",2,"ah,ad,10h,5d",-2,False
"6d,4h,ks,6s,9c,7c","jc","ks,7c","4h,ks","ks,7c,4d,8s","4h,ks,4d,8s","6d,4h,6s,9c",8,"6d,6s,9c,7c",8,True
"ac,5h,as,kd,3h,6d","2s","3h,6d","5h,6d","3h,6d,ks,7c","5h,6d,ks,7c","ac,5h,as,kd",4,"ac,as,kd,3h",9,True
"7s,4d,kd,6s,10d,7d","kh","7s,6s","4d,10d","7s,6s,8s,ah","4d,10d,8s,ah","4d,kd,10d,7d",11,"7s,kd,6s,7d",4,True
"ac,7d,2s,4h,2h,kc","jc","2s,2h","4h,7d","2s,2h,7s,qc","4h,7d,7s,qc","ac,7d,4h,kc",4,"ac,2s,2h,kc",6,True
"9h,6c,2d,9d,8c,3s","ah","8c,3s","2d,3s","8c,3s,ks,4d","2d,3s,ks,4d","9h,6c,2d,9d",8,"9h,6c,9d,8c",11,True
"kh,2d,8s,2c,4s,10c","js","4s,10c","10c,kh","4s,10c,5d,qh","10c,kh,5d,qh","kh,2d,8s,2c",-2,"2d,8s,2c,4s",-4,False
"6h,qh,ah,8c,4h,5h","8h","ah,8c","8c,qh","ah,8c,8s,7h","8c,qh,8s,7h","6h,qh,4h,5h",6,"6h,ah,4h,5h",4,False
"4h,ad,5d,qc,8c,5c","2s","ad,8c","ad,4h","ad,8c,3s,8h","ad,4h,3s,8h","4h,5d,qc,5c",8,"5d,qc,8c,5c",8,True
"ac,7h,9c,9s,kd,7c","6d","9s,kd","ac,kd","9s,kd,8d,ks","ac,kd,8d,ks","ac,7h,9c,7c",2,"7h,9c,9s,7c",2,False
